id	prompt	essay	content	organization	language	total
929	Tech: Some people say that computers have made life easier and more convenient. Others say that computers have made life more complex and stressful. Which do you agree with? Use specific reasons and examples to support your opinion.	"We live among a lot of computers. There are many types of computers such as a desktop, a laptop, a mobile phone and so on. Now, we can't think our life without computers. I think that computers have made our life easier and more convenient definitely. The reasons are as follows.
 First at all, we can overcome the limitation of time and space. Now days, we have been regulated our meeting because of Covid-19. The lecture can't be conducted face to face. However, we can conduct our lecture by using computers. This example is one of the evidence of overcoming the limitation of space.
 Second, we can save our money by using computers. Japan is one of the rich countries all over the world. However, they had reduced their money to invest for computers. They still our old things like stamps. Japan's economic growth keeps decreasing. Using computers is more efficient than using old things.
 Third, the works with computers are more reliable. When we need to calculate a lot, we have to calculate multiple times to reduce our mistakes. However, the computers don't conduct any errors if the program works properly. Usually, we think that using computers is more reliable. 
 Finally, there are several examples that computers are used to help people who have some difficulties. For example, they is a computer which reads the sentences in a book for people who can not see. It is necessary to read books for them. Computers are 'hope' for them.
 Of course, the computers are complex sometimes. However, it's because the computers are not perfect to use yet, but not the computers are not useful. If the computers are more developed in the future, it would be less complex than now days. There are lots of working to use computers less complex. Researchers make user interface changes by developing software and invent the new type of computers like foldable mobile phone. I believe that the computers will be more and more important as the technology develops."	2.5	2.5	2.5	7.5
930	Tech: Some people say that computers have made life easier and more convenient. Others say that computers have made life more complex and stressful. Which do you agree with? Use specific reasons and examples to support your opinion.	"We use so many electronic devices. Most of them contain logical circuits inside. We call these kinds of devices a computer. The world is full of computers, and we use them so many times even unconsciously. They brought us a big convenience in many ways such as calculating complicated execution. There are more cases of how computers made our lives easier including the two following reasons.
     First, the smartphone. There is no person who doesn't have it. It has replaced a lot of parts of human life. We don't have to hand-write a letter, collect and remember all the phone numbers, and find a way to our destination. Because of the big convenience that the smartphone has brought, it is also known as the external brain. I cannot even imagine a life without it.
     Next, computers gave us the opportunity to keep learning. Due to COVID-19, most of the students could not take the lecture offline. However, we could continue to take it and see friends online. It has been possible since the fully developed computer technology. In addition, we can get a lot of information without any cost by simply watching YouTube videos. It is an innovation in learning area.
     All in all, computers have helped us to live easier lives in many ways. Now we cannot even imagine going back to the generation which had not used them."	2.5	2.5	3	8
931	Tech: Some people say that computers have made life easier and more convenient. Others say that computers have made life more complex and stressful. Which do you agree with? Use specific reasons and examples to support your opinion.	"Everything is based on the Internet, network. The orders for the store is done through Internet and the transaction of bitcoin and stock which are considered as important and uprising money cannot be done. All things that make our live convenient is from Internet. If there is some error on Internet, computer network, the world will fall into chaos. 
 Recently, the case to prove the importance of Internet happens. Do you remember the 'KT internet failure accident'? I did experience the chaos. At that time of October 25th, I took the class via Zoom meeting. Suddenly, all the people including professor was disconnected. I was fortune to have Internet based on other wire service. At the end, the class was end, not finishing all class contents. Not only me, but also most of other people who are especially restaurant owner, entrepreneur, student got damage and experienced severe inconvenience.  
 This was the well suited case for Internet necessity to our life. Due to this contemporary chaos, we do realize that usual easy, fast life has come from the Internet. The fast communication between people abroad, untact class for COVID-19 situation, transaction of cryptocurrency and stock, and KaKao maps, Coupang which is essential application for our lives is the product of Internet."	1	1	2.5	4.5
932	Tech: Some people say that computers have made life easier and more convenient. Others say that computers have made life more complex and stressful. Which do you agree with? Use specific reasons and examples to support your opinion.	"I agree with computers have made life easier and more convenient. There are 3 reasons.
First, computers can memory and store so much information. We can save our word or ppt files,
many pictures and videos. Maybe in general, we can store over 1TB memories on computer and we never can not
remember this quantity in our heads. However, we always check and remember so much memories with computers. It takes convenience to us.
Second, computers never make mistakes. Sometimes, or usually we make mistakes. Simple calculations, memory something or etc. However, computers never do wrong calculations and never forget memories if there is no error or bug. Thus, we can more less pay attention to calculating or remember. It makes our life easier.
Last, third one is computers generated development of industry. By computers, many industry changed handwork to mechanization and automation. It occurs increasing of productivity and quality. Also, Industries are accelerated and we do not need manpower as before. We can use remaining time in other parts like leisure or etc. This makes our life easier and in abundance.
Because of these reasons, I agree with computers have mad life easier, more convenient."	2	2.5	2	6.5
933	Tech: Some people say that computers have made life easier and more convenient. Others say that computers have made life more complex and stressful. Which do you agree with? Use specific reasons and examples to support your opinion.	"I think computers have made life easier and more convenient.
  First, computers make things faster. Because of computer, it is possible to do some tasks at home without going to community service center or something. So it became much more convenient for our time usage and not going to community center which is annoying.
  Second, computers have many functions. Computers have several convenient functions like calculating or drawing. There were many things that are too complicated to finish on our own, but thanks to many functions of computers, it became available to deal with those tasks. We can calculate complex numbers with computers, and draw an ideal circle with computers.
  Because of these things, I think that computers have made our life easier and more convenient. Definitely, there are some disadvantages occurred by computers, but I think the advantages that computers give can cancel out the disadvantages of computers. So I think it is actually beneficial to use computers in our lives."	1.5	2	2	5.5
934	Tech: Some people say that computers have made life easier and more convenient. Others say that computers have made life more complex and stressful. Which do you agree with? Use specific reasons and examples to support your opinion.	"Today, most people spend their most of their time with computers. That tendency is too serious, therefore some people make effort to escape from computers with various programs such as 'digital-detox'. It shows that the excessive using of computer becomes a social problem, and people recognize it today. However, I think computers have made our life better especially nowadays. Here are some reasons.

First of all, thanks to computers, we can maintain our life even in pandemic situation. From the 2019 spring semester, I studied via the computer. Because I have a computer, I could meet people and get good quality lectures. If there are no computers, we could not do anything related to studying last two years.
Second, if we use it appropriately, computers help us to relax. There are some thinking that computers accumulate stress. However, for my case, I relieve my stress by playing the computer games. So it is not right that using computers is always harmful to our mental.
Lastly, computers make our lives extremely convenient. I did not go the bank during last several years. It is because I can do any banking job with a computer. If we could not use computers, we should do everything in offline, and it might be much stressful.

For these reasons, I believe that computers help our lives, and are absolutely essential in our life."	3	3	2.5	8.5
935	Tech: Some people say that computers have made life easier and more convenient. Others say that computers have made life more complex and stressful. Which do you agree with? Use specific reasons and examples to support your opinion.	"Nowadays, we use computers in almost everywhere. The forms of computers may different, but they helps our life easier and more convenient in several way. Even though some people says that computers have made life more complex and stressful, I think that computers have made life easier and more convenient. There are 3 reasons  why I think that computers have made life easier and convenient.
First of all, computer helps us to manage our time more efficiently. By using computer, we can synchronize many thing in convenient way. By just simple settings, we can manage our works with calendar in the computer. In contrast to usual paper calendar or diary, which need some effort to update new schedule or modify previous schedule, we can update and modify our schedule very quickly with our computer. In addition, we can share our schedule in convenient way.
Second, computer can finish a lot of simple repeat work very fast. In real world life, we encounter many kinds of repeat work. Paying something that have to be payed periodically or counting the D-day are kind of this works. By using computer, we can achieve our requirement with small effort, and this thing can be repeated until we want to finish it. 
Finally, we can find out lots of information through the internet with computers. On the internet, there is lots of information which might be helpful for us. Although there is some unverified information which might be harmful, with some effort to avoid them, we can save a lot of time to find out information compared to traditional information searching techniques.
For these 3 reasons, manage time more efficiently, perform simple repeat work very fast, find lots of information quickly, I think that computers have made life easier and more convenient."	2.5	3	2.5	8
936	Tech: Some people say that computers have made life easier and more convenient. Others say that computers have made life more complex and stressful. Which do you agree with? Use specific reasons and examples to support your opinion.	"When I was young, there are computers too. But the computers' performance at that time was worse than now. Maybe it's because my house computer wasn't good. However, many people should pay a lot of money for using good performance computers. On the other side, nowadays, we can buy computers easier and its basic performances are very good. That is, we can use good computers easier and makes our life more convenient.
Firstly, we can carry computers such as laptop or tablet. Surely, laptop's performance is worse than desktop's. But, desktops can't be carried because it's weight and mechanical issues. So, many people use laptop for using outside. Thus, we can use computers not only in house, but even in cafe, park and everywhere. 
Secondly, computer's speed are getting faster. Compared to several years before, computer's turn-on time is very faster. Also, loading time is very few for most of light operations. That is, people can do anything in very short time. 
Finally, it can save time and bothers. For modern people, time is very important. Many modern people don't have enough time to go shopping or do hobbies. But, nowadays, we can buy any items with just some clicks. We can also do shopping even lying down on the bed. 
Some people say that computers have made life more complex and stressful. But, nowadays, they will feel more inconvenient not to enjoy computer's good functions. Also, many people feel difficult to use computers. However, it's getting easier and there are many custom computers for minorities. That is, not only elders but also kids can use computers easier. So, I think computers have made our lives easier and more convenient."	2	2.5	2.5	7
937	Tech: Some people say that computers have made life easier and more convenient. Others say that computers have made life more complex and stressful. Which do you agree with? Use specific reasons and examples to support your opinion.	"Obviously, computer is one of the most remarkable invention of the human history. Computer has completely changed mankind's lifestyle. All the classes these days are conducting in Zoom, your vaccine data is managed by government system, you listen to music with your mobile phone, et cetera. Now it is hard to imagine the world before the invention of computer. Despite these advantages of computer, some people argues that computer have made life more complex and stressful. This is controversial topic, and I firmly believe that computer have our life easier and more convenient.
First, computer made our life much more energetic. Most to medias are accessible through computer. You can listen to billboard chart by just clicking the playlist in YouTube music. You can watch famous series 'Sherlock' by subscribing Netflix. And people all over the worlds are fanatical of Korean show 'Squid Game'. Before the computer has invented, the art was only preserved by the riches. Thanks to computer, however, you can watch every master pieces of worlds with your small mobile phone. It is obvious that computer has enhance the quality of life of mankind, by providing the fascinating medias and artworks.
Second, the computers are saving your life. Especially computers are inevitable in this pandemic situation. You know, all the university classes have studied Zoom, and most of meetings these days are in Google Meet. This is all in the virtue of the computer. There are more examples. You can reserve vaccine by NAVER,  and your vaccination records are all managed by COOV app. Imagine how can we overcome this tragic pandemic without help of the computers!
As you can see in the examples above, computers are indispensable with our everyday life. Human civilisation has developed very rapidly after the invention of computer, and a lot of world data are stored in the computer. It is obvious that world without computer will be extremely horrible. In some aspect, it is also true that computers have made life more complex and stressful. However I argue that the advantage of computer is overwhelming, compared to the disadvantage."	2.5	2.5	2.5	7.5
938	Tech: Some people say that computers have made life easier and more convenient. Others say that computers have made life more complex and stressful. Which do you agree with? Use specific reasons and examples to support your opinion.	"A Computer has been the most innovative invention today. Almost every people in the world use computers in their everyday lives. In this regard, I think that computers have made life easier and more convenient.
    First, they provide helpful programs. For example, PPT or Word developed by Microsoft help us to make presentations or documents easier. Without them, we have to draw all presentation materials and write every text with our hands, which is too complicated.
    Second, they allow us to communicate with each other. Compters include smart devices, such as smartphones, tablets, and smartwatches. By using them, we can send a message or give a call wherever. Moreover, recent Internet of Things (IoT) computers allow us to communicate with house appliances. For example, we can remotely control an air conditioner or a refrigerator outside the home.
    For these two reasons, I firmly believe that computers have made our lives much more easier and convenient."	2.5	2.5	3	8
939	Tech: Some people say that computers have made life easier and more convenient. Others say that computers have made life more complex and stressful. Which do you agree with? Use specific reasons and examples to support your opinion.	"I think computers have made life easier and more convenient. Most of the people use computers everyday. They can check the weather, see the news, and watch Youtube channels using their computers. For example, students can attend their online classes in the home without going to the actual class. Employees can also stay in the house and collaborate with their co-workers freely. This phenomenon is so popular these days so that no one would doubt that computers have made our life more convenient. There are more reasons why computers have made life easier and more convenient. Let's take a look those one by one.
 First, we can get useful information in the Internet easily. If you want to find more information, you can just google it and find the answer. You can search your career goal, daily life of other people, and the keywords you didn't know. Without computers, we might have to go to the library and read books to get information that takes us more time and effort.
 Second, we can watch more entertainment videos like Youtube channels. In the past, TVs and radios were the only thing we can watch. However, we can watch Youtube channels, play games online, and chat with friends these days. There are so much more entertaining stuffs online so that it made us to just sit down in the chair and enjoy them.
 To sum up, computers made us to find information quickly and provided many entertaining materials so that it made our life easier and more convenient."	2	2	2.5	6.5
940	Tech: Some people say that computers have made life easier and more convenient. Others say that computers have made life more complex and stressful. Which do you agree with? Use specific reasons and examples to support your opinion.	"Since the invention of the computer, the world has developed rapidly due to its great computational power. Such a computer-related life makes life easier and more convenient for some people, but it also seen by others as  a more complex and stressful life. Between two opposing opinions, I think computers make our lives more convenient.
  The first reason I agree with the opinion above is that it makes easier to get information. We use navigation to drive through the best route while driving, and we also use our cell phone to search for wonderful restaurants or view the arrival times of public transport. Since the various electronic devices mentioned in the examples are kinds of computer, we can easily obtain various information through the computer in our daily life and use it to live more comfortable life.
 A second reason for supporting the above opinion is that computers allow for more efficient work. A few years ago, a public service worker from KAIST took charge of what he had to do for a half year, eight hours a day. A story of a social service worker from KAIST who completed his half-year work in a day using a program is a typical example of this. In addition, there are so many cases in which computers finish their work much faster than humans do themselves, which shows that computers make human life more convenient.
 In conclusion, I agree with the opinion that computers make our lives easier and more convenient because using computers makes getting information easier and more efficient. I finish this article in the hope that computers will develop further and have a more comfortable life."	3	3.5	3.5	10
941	University: Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer.	"I think that the way of specializing in one subject is much better than the way of taking several kinds of subject. I have some supports for my opinion.
First, specialists are more needed in the modern society. Nowadays' problem that we are facing is really complicated and huge one. So there's no one who can take care of every problems. Instead, lots of specialists cooperate to address a one big problem, with solving small, but complicated components of the big problem. Even though it is important that having knowledge of broad areas, but it is needed in managing between specialists.
Second, knowledge of modern society is too deep and wide to cover all of it. about 2 or 3 centuries ago, scholars in that era studied about lots of areas; mathematics, physics, and chemistry and so on. But as humans accumulate their knowledge, the research area had became deeper and more complex than past days. In example, mathematician of 18th century Gauss studied about algebra, statistics, etc. But in 21th century, the mathematicians study their own, narrow but deep area. So we can think that studying broad area can be helpful, but in the long run, that way only makes incompetitive ones, due to this property of modern studies.
There are some opinions of training transdisciplinary talents. But I argue that such education is incompetitive in modern era. So I think being specialist is much better than taking several kinds of subjects."	3	3	3	9
942	University: Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer.	"Even though COVID-19 and its mutation virus situation is getting longer, KAIST decided to do face-on-face classes. Some students would disagree with this decision,  but I think university students should required to attend classes in two reasons.
First of all, there are experimental classes in college. At last year, we've join the chemistry experimental class and physics experimentsl class. Many students were looking forward at these classes. However, experimental classes were conducted in online, all we have to do was write a report after receiving the test result. This circumstance shows that person-to-person class is important for experimental classes. These classes has a goal to have a experience about student's  jobs, students should attend classes.
In fact, attend classes is not only important in experimental classes.  While school is doing online lecture, I saw many students doing other things while they taking the lecture. Even if they get a high score at midterm and final exam, it could become bad habits. Also, lecture includes not only knowledge about lecture but also other useful knowledge, professor's skills, and advice for life. This point is depends on the lecture's subject, but aren't we taking lectures just to gain knowledge?
To sum up, experimental classes and other lecture classes both are required to attend. Attending class makes lecture as a lecture, and experience of experiment. For this reason, I think university students should be required to attend classes."	3.5	3.5	3.5	10.5
943	University: Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer.	" It has been a long issue that whether universities should require students to take classes in many subjects or one subject. I claim that letting students take classes in various subject is a better choice.

 First, students will have more options to choose for their dreams. The majority of students in university doesn't have a job yet. They should be finding which subject will suit their aptitude. Studying many subjects will increase the possibility to find aptitudes for students. 

 Next, studying only one subject is dangerous. Usually, students will study in university for 4 years. If a student realizes that the subject doesn't suit for himself or herself, it would be miserable because time passed more than other students. So it will be safer to study many subjects because if one doesn't suit, students can try others.

 Finally, it is possible to converge two or more subjects to one. Integrating contents of subjects can make new ideas and conclusions. Studying many subjects deep as possible will help students to bring up fresh ideas. For example, Steve Jobs integrated Arts and Technology to make beautiful electronic devices and it successes a lot.

 In conclusion, universities should require students to take classes in many subjects. This will make university to help students to find their goals. Furthermore, it can provide possibilities of letting students integrate ideas of subjects."	3	3	3	9
944	University: Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer.		3	3.5	4	10.5
945	University: Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer.	" University is an educational institute for professional knowledges. There is a big differance between it and other academies. Most of them are adult, who has right to determine what they do freely. Because of this reason, many students want to be optional for their class to get their right. However, adults should be respective for their choice taken by their right. I will suggest my disagreement on this side.
  As I said, the main purpose of universites is education. They are built to make specialized people  in some fields. Therefore, all of students in university have a mandatory to be a important person who knows enough to develop our society.  Even though we give some tuition to them, we also take a lot of supplyments for our education. Our classes are not the service that we can give up anytime, but mandatory caused by our own choice. So it is very sure that we must be checked about how we implement our mandatory well.
 There's another reason. Many companies and jobs take there standards for new people on the grade of university. They can evaluate applicants by what they learn or  do in the university. In this way, evaluation is also a function of university. Because of it, every freshmen already tacitly contracted to be evaluated by all of behaviors in the university. Attandance is the most basic and good criteria for evaluation, so professors can get their right to examine it.
 In these reasons, I confirmly agree for  the attendance requiring. Someone can have dissatisfaction for this policy, but it is essential for  all people who live in the society. Attandance is a promise that we already agreed when we register in the university, and we have to respect for it."	3	3	3.5	9.5
946	University: Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer.	" We heard of some people who had success in their own field like Leonardo da Vinci or Einstein. However, did these people succeed because they did well on only one subject? I think not. My opinion is that universities requiring students to take classes in many subjects.
 First, students can improve their understanding with knowledge from other subjects related to their major. For example, Leonardo da Vinci is famous for his work in painting but surprisingly, he also majored in anatomy. And many historians say that understanding the shape of human body through anatomy played a key role when Leonardo da Vinci painted people. It is same for us. You can go much farther in you field by studying related subjects together.
 Next, students can create a whole new field by integrating a few subjects they were studying. What I mean is, that each of students can be a pioneer in their own fields. For example, NFT is a concept rised recently that for each internet-based creation, people verify that it is an original one. And NFT is important nowadays because there are so many copied files in the web. Concept of NFT can be understood as a combination of Internet/Computing, copyright, and also blockchain system. Like this, students can come up with groundbreaking concept if they take classes even not directly related to their major.
 To conclude, it is both helpful for students to study various subjects related to their major or not. Students can use their wide knowledge to improve theirselves or to open a new realm."	3.5	3.5	3	10
947	University: Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer.	" I think that the university that requires students to take classes in many subjects is better than the other.
 To be first, spending times in lots of subjects can make synergy in studying. Most of Subjects tend to be connected with something such as hypothesis, theorem or problem each other. So we can see those again and again, and remember more exactly and understand better. For example, Physics and Mathematics cannot be independent each other. In Physics, a lot of topics would be explained and resulted by Mathematics. Also, we remind topics in solving Mathematics problem which is related to Physics. Doing them together, something rack can be complemented and something good can be reinforced. Then the ability and score for two subjects will increase together rather than studying just one. 
 Secondly, We could get interested in another field (especially not my field which is studying now), with taking many classes. It is reasonable to get a subject of another field rather than to get only subjects of my field. Having that class, we get a lot of information. In that course, interest about some field will come to us and we will search more information to satisfy our interest. Finally, the major can be changed, or a couple of major could be done together. Information that we have got can be used someday, for example, the innovative study topic can be found thanks to the theory of another field.
 Taking many subjects can make synergy together and get interested in another field. So I regard my claim is better than the other."	3	3	3	9
948	University: Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer.	"Nowadays, the discussion that university students should be required to attend classes is very hot topic. And each side of the discussion has a reasonable reason about their statement. And I'm in side of supporting the statement. I think that university students should be required to attend classes for two reasons.
 The first reason is the fact that university is a facility to study. And I think it means university should have some power to force students to study, and I think that made university students required to attend class is the best way to force students to study. Some people may say that university students should have freedom about this subject. But I think that if we give university students freedom, most of students will spend their time on playing game, or meeting their friends, rather than studying, resulting to university lost it's meaning of facility to study. In this reason, I suppose that university students should be required to attend classes.
 The second reason is that attending  class can give a lot of positive effects to the students. First they can study. University students can learn what they wanted to study, but cannot learn in highschool. In addition, they can learn about the subject they like more deeper than they learned in highschool. Second, they can meet new friends by attending class. And this can give students a chance to socialize with new people, and this can be lead to growth of sociality, the ability that essential in nowadays.
In short, I think that university students should be required to attend classes because first, university needs a power to force students to study, and second, attending classes gives many adventages to students. "	3	3.5	3	9.5
949	University: Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer.	"In most classes, attending classes is essential. Professors may want student to study hard in the lecture and to improve their abilities. But does everyone attending classes doing their work hard and improve their abilities? My answer is NO. I insist that we should give a chance to decide whether to take a class or not.
 The first reason of my opinion is the right to choose. University students are already mature enough to decide what to do for themselves. They already decided the lectures they want to take part in, so we should also give a chance to decide whether to attend or not.
 Also, those who will study hard will study hard, and those who won't study hard will not. It doesn't help to force the students who don't have any will to study to attend the class. But, the students who have great will to study hard, most of them take classes even if the professor don't force attendance.
 Lastly, there can be gifted students who already know about whole class' contents or theories. Or, the students who do that subject so well that they don't have to take the class, for example, basic courses. It is a waste of time for these students to attend lectures as essential. It is more efficient for them to study other things without attending classes at that time.
 We should give students chances to decide attending classes or not. Give them freedom of choice, and they should take responsibility. For these reasons, I insist that going to classes should be optional for students. "	3	3	3	9
950	University: Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer.	"Taking classes in various subject would be better for students than specializing in one specific subject. 3 years of highschool course is not enough for students to acknowledge what they are good at, which means there are needs for additional time to spend seeking their dreams. Also, specializing makes it harder to change one's subject for student, making talented students to stay in other subjects. 
University should give more time for students to think about their major or carear, as highschool period is not enough for students to acknowledge themselves. It is too short, and most of the effort is poured at colledge admission, leaving literally no time for students to find what they are good at and what they really like. One might say that students learn many different things at highschool, which is enough for them to choose their major and carear. However, what highschool students have learned is too shallow and elementry for real jobs. Extra time is needed for students and that should be university couse. If not, there is a chance that one talented student ending up at other carear where he/she is not as good. Even though one found their talent, it would be hard for them to move their major. Because if they do choose to change, it would take twice as much time. Also, university that is specialized, usually don't allow students to change their course easily.
Specializing one's major is the same as forcing young students to pick a subject that they don't know if they would have talent in it. This situation should be avoided as this is a big loss for both the student and university."	3	3	3	9
951	University: Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer.	"Lots of universities including KAIST require students to take lots of basic science-related classes. I am the one of whom agree this statement is better. There are basically three reasons that made this statement agreeable to me.
   First, many freshmen don't know precisely what to do in the future. They were forced to make a dream when young, and some of them don't like the dream what they had chosen. If universities haven't required students to do basic stuffs, then even if students when they become those who are not freshmen anymore, it may be hard to study specific subjects that are related to their specialties because they haven't studied well earlier before.
   Second, even if the subjects are not those students would like to study, for example, I had the same situation but later in my life(?) those knowledge that I ignored are useful when talking with others like friends, family, people when meeting for the first time. It must be useful in the future.
    Lastly, science-related subjects are connected to each other quite a lot than we expect. Physics is used in biology when talking about the blood pressure, used in chemistry like potential energy in electrons, and etc. It might be dangerous to say, but I personally think that studying only a few subjects is a foolish thing to do. Learning is always a positive factor to our lives.
   Maybe studying few subjects that people would like to study hard for their longing is a good thing to do because of the concentration of focus, but in the other side, it might be that people know only about those subjects and the pool they live in would be smaller than those who studied many subjects."	3	3	3.5	9.5
952	University: Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer.	"If I need to choose between learning many subjects or one subject, I think specializing in many subjects is better than in one subject for the following reasons. 

First, by learning many subjects you can understand each subject better. For example, physics and mathematics are very closely intertwined. By studying physics, you may find out how equations you've learned from mathematics are applied, find a solution to the problem you were struggling with within mathematics, and so on. And this is true in other cases like when studying world history. So it is obvious that learning other subjects helps you to learn the one you were studying first. 
Second, you can broaden your sight of the world by studying many subjects. When you only specialize in one subject, you might be an influential person in that area, but you're not seeing the world in full sight. In my case, not just science,  but ethics, philosophy, and other things are needed in our life and they must be learned of course. From the experiences you've got from learning many subjects, your life will be more satisfactory and you'll be able to make the right decision in time you need to decide where to go or what to do in your life. 
Lastly, in my opinion, the person 21st century needs more is the one who knows how to share what he or she got, cause now is the time when all the subjects cant be separated which means all the things we're doing are always intertwined. It might sound odd and you could think ""I don't get it! Each subject has its meaning and you can go just well only specializing in one subject."" Well, it might have been true in the past, but time passed and the world changed. You have to adjust to the world. In my opinion, studying many subjects is inevitable. Also, the ability to share what you got is important, and to do this you need help from other subjects. How to communicate, to make a world a better place and etc.  
For these reasons, I think specializing in many subjects is better. In a rapidly changing world in the 21st, it is important to learn many subjects."	3	3.5	3.5	10
953	University: Some universities require students to take classes in many subjects. Other universities require students to specialize in one subject. Which is better? Use specific reasons and examples to support your answer.	"Specialize in One Subject is Mandatory
     Recently, many discussions regarding how to educate students have been made. One topic in the discussion is about whether students have to specialize in one subject or take classes in various subjects. In my opinion, specializing in one subject is much better than taking classes in many subjects for several reasons.
     First, modern society requires specialists in one field rather than transdisciplinary talents. Nowadays problem that we have to solve is really complicated and is a really large one. This implies that finding someone who can take care of all parts of the problem is impossible. Instead of one convergence talent, lots of experts from various areas cooperate to handle one big problem by solving small, but complex components of the problem. Therefore, specializing in one area is important to handle modern complicated problems.
     Next, training experts is more efficient. Knowledge of modern society is too deep and wide to cover all areas. About 2 or 3 centuries ago, scholars of that era studied about many areas; mathematics, physics, and chemistry and so on; however, as humans accumulate their knowledge, the research area has become deeper and more complex than in past days. This fact makes educating enough level of convergence talent much harder. However, training experts takes much lower costs and is easier than training convergence talents. To sum up, specializing in one subjects can produce more competitive researchers.
     Some argue that training leaders who can understand and integrate ideas from various area is more important in modern era; however, such talented leaders can be easily replaced by cooperation of experts. Nowadays, the leader who can point the way to proceed and manage every component of work is vanishing. Instead, cooperation of specialists takes its place. Modern problems can be handled by cooperation of many specialists. Therefore, it is more beneficial to train specialists than transdisciplinary leaders.
     In conclusion, educating experts in one field is more efficient, and fits to current trend. In modern era, training convergence talents is not competitive anymore. Therefore, we should encourage students to specialize in one subject than taking multiple kinds of subjects."	4	4	4.5	12.5
954	University: Some universities require students to take classes in many subjects. Other universities require students to specialize in one subject. Which is better? Use specific reasons and examples to support your answer.	"About taking various lectures at the university

     Students register for classes for the first time after coming to college. Schools no longer schedule classes for students, so they have to decide which classes to take on their own. However, each university has different requirements for graduation. Some universities are required to take classes in various subjects, but others are required to take classes on one subjects. In my opinion, listening to lectures in various subjects has two advantages
     First of all, helpful to college students when they decide a major. Most college students come to university without a major. Sometimes even students who are sure of their major usually change their major after they come to university. This is because students take some lectures at the university, look at their aptitude, taste, and future prospects, and decide on their major. At this point, listening to lectures in various subjects allows students to make more successful major choices.
     In addition, having advantages for job competition after students graduated. Those who have studied one field and several fields have different level of knowledge even if the number of lectures they have taken is same. When students encounter various fields, they can look at one problem in many ways. This make students to suggest various solutions. Additionally, taking many class allows for convergent thinking that simultaneously considers knowledge in different fields. Convergent thinking is an important factor in getting a job at future-oriented companies. Therefore, it is important to encounter various majors in order to gain an upper hand in the competition.
     Some argues that coming into contact with various classes delays college graduation because of lecture unrelated with graduation. I agree that taking lecture from various majors can delay graduation. However, this argument exclude rewards obtained instead of delaying graduation. As graudation is delayed, students will be able to develop a wider lange of knowledge and convergent-complex thinking. Above all, the lectures that college studnets took in other fields will open up a lot of course when they went to graduate school or got a job.
     To sum up, listening to lectures in various subjects has the advantages of helping major selection and job competition. Access to various major lectures allows college students to choose their interests, aptitiudes, and appropriate majors. In addition, it fosters a wide range of knowledge and convergent problem-solving skills, which gives it an advantage in job competition. Getting a lot of lecture can delay graduation, but it has many advantages offsetting it. Considering these points, it seems that it is better to encounter various lectures than to take only one major lecture."	4.5	4.5	4	13
